4;SAINT-PLACIDE;MONTPARNASSE - BIENVENUE;0.000000
4;MONTPARNASSE - BIENVENUE;VAVIN;0.000000
4;VAVIN;RASPAIL;0.000000
4;RASPAIL;DENFERT-ROCHEREAU;0.000000
4;DENFERT-ROCHEREAU;MOUTON-DUVERNET;0.000000
4;MOUTON-DUVERNET;ALESIA;0.000000
4;ALESIA;PORTE D'ORLEANS (GENERAL LECLERC);0.000000
4;PORTE D'ORLEANS (GENERAL LECLERC);MAIRIE DE MONTROUGE;0.000000
5;BOBIGNY - PABLO PICASSO;BOBIGNY - PANTIN - RAYMOND QUENEAU;0.000000
5;BOBIGNY - PANTIN - RAYMOND QUENEAU;EGLISE DE PANTIN;0.000000
5;EGLISE DE PANTIN;HOCHE;0.000000
5;HOCHE;PORTE DE PANTIN (PARC DE LA VILLETTE);0.000000
5;PORTE DE PANTIN (PARC DE LA VILLETTE);OURCQ;0.000000
5;OURCQ;LAUMIERE;0.000000
5;LAUMIERE;JAURES;0.000000
5;JAURES;STALINGRAD;0.000000
5;STALINGRAD;GARE DU NORD;0.000000
5;GARE DU NORD;GARE DE L'EST (VERDUN);0.000000
5;GARE DE L'EST (VERDUN);JACQUES BONSERGENT;0.000000
5;JACQUES BONSERGENT;REPUBLIQUE;0.000000
5;REPUBLIQUE;OBERKAMPF;0.000000
5;OBERKAMPF;RICHARD-LENOIR;0.000000
5;RICHARD-LENOIR;BREGUET - SABIN;0.000000
5;BREGUET - SABIN;BASTILLE;0.000000
5;BASTILLE;QUAI DE LA RAPEE;0.000000
5;QUAI DE LA RAPEE;GARE D'AUSTERLITZ;0.000000
5;GARE D'AUSTERLITZ;SAINT-MARCEL;0.000000
5;SAINT-MARCEL;CAMPO-FORMIO;0.000000
5;CAMPO-FORMIO;PLACE D'ITALIE;0.000000
6;CHARLES DE GAULLE - ETOILE;KLEBER;0.000000
6;KLEBER;BOISSIERE;0.000000
6;BOISSIERE;TROCADERO;0.000000
6;TROCADERO;PASSY;0.000000
6;PASSY;BIR-HAKEIM (TOUR EIFFEL);0.000000
6;BIR-HAKEIM (TOUR EIFFEL);DUPLEIX;0.000000
6;DUPLEIX;LA MOTTE-PICQUET - GRENELLE;0.000000
6;LA MOTTE-PICQUET - GRENELLE;CAMBRONNE;0.000000
6;CAMBRONNE;SEVRES - LECOURBE;0.000000
6;SEVRES - LECOURBE;PASTEUR;0.000000
6;PASTEUR;MONTPARNASSE - BIENVENUE;0.000000
6;MONTPARNASSE - BIENVENUE;EDGAR QUINET;0.000000
6;EDGAR QUINET;RASPAIL;0.000000
6;RASPAIL;DENFERT-ROCHEREAU;0.000000
6;DENFERT-ROCHEREAU;SAINT-JACQUES;0.000000
6;SAINT-JACQUES;GLACIERE;0.000000
6;GLACIERE;CORVISART;0.000000
6;CORVISART;PLACE D'ITALIE;0.000000
6;PLACE D'ITALIE;NATIONALE;0.000000
6;NATIONALE;CHEVALERET;0.000000
6;CHEVALERET;QUAI DE LA GARE;0.000000
6;QUAI DE LA GARE;BERCY;0.000000
6;BERCY;DUGOMMIER;0.000000
6;DUGOMMIER;DAUMESNIL (FELIX EBOUE);0.000000
6;DAUMESNIL (FELIX EBOUE);BEL-AIR;0.000000
6;BEL-AIR;PICPUS (COURTELINE);0.000000
6;PICPUS (COURTELINE);NATION;0.000000
7;LA COURNEUVE - 8 MAI 1945;FORT D'AUBERVILLIERS;0.000000
7;FORT D'AUBERVILLIERS;AUBERVILLIERS-PANTIN (QUATRE CHEMINS);0.000000
7;AUBERVILLIERS-PANTIN (QUATRE CHEMINS);PORTE DE LA VILLETTE (CITE DES SCIENCES ET DE L'INDUSTRIE);0.000000
